disposition,site,contractor,folder,lat,lon,in_128,in_111,list111_site,list111_district,list111_status,distance_m,in_mwater,mwater_code,mwater_dist_m,evidence
retired,Antsirasira,2ADH,,-22.807392,43.609286,no,yes,Antsirasira,MOROMBE,Construction,2325.7,no,,105705.6,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANTRANOLAHATRA AVARATRA' at 2326 m"
retired,Mandily,2ADH,,-25.014997,45.506739,no,yes,Mandily,Antanimora Atsimo,Construction,133.9,no,,9784.4,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'MANDILY' at 134 m; present in the wider 13 Aout file as 'MANDILY' at 134 m"
retired,AMBALASARAKA CENTRE,EAE,,-24.265486,45.663064,no,yes,AMBALASARAKA CENTRE,BEKILY,Construction,509.7,no,,9096.1,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'AMBALASARAKA' at 510 m"
retired,MENDORAVE CENTRE,EAE,,-25.252803,44.673202,no,yes,MENDORAVE CENTRE,BELOHA,Construction,12594.6,no,,72053.8,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'MENDORAVE' at 12595 m"
retired,Andaro Betsileo,RAB,,-23.798445,45.694203,no,yes,Andaro Betsileo,Betroka,Construction,286.5,no,,4436.6,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANDARO BETSILEO' at 286 m"
retired,Andranomanesiky_FKT SAKAMAHILY _C/R JANGANY,RAB,,-22.761403,45.830021,no,yes,Andranomanesiky_FKT SAKAMAHILY _C/R JANGANY,Betroka,Construction,443.4,no,,50612.6,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANDRANOMANESIKY' at 443 m"
retired,Andriabe Haut,RAB,,-23.759891,45.682811,no,yes,Andriabe Haut,Betroka,Construction,326.2,no,,8829.2,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANDRIABE HAUT' at 326 m"
retired,Beraketa Andaka,RAB,,-23.466831,45.838604,no,yes,Beraketa Andaka,Betroka,Construction,642.9,yes,1108785774,89.8,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'BERAKETA ANDAKA' at 643 m"
retired,FPMH ANDAFIRANO,RAB,,-23.828613,45.487102,no,yes,FPMH ANDAFIRANO,BETROKA,Construction,9089.3,no,,9475.2,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANTATAKY TOBY' at 9089 m"
retired,Milomboke,RAB,,-21.299349,43.750922,no,yes,Milomboke,Morombe,DEX/PGES,28022.3,no,,132925.6,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'AMBALAMOA CENTRE' at 28022 m"
retired,AMPAMATA,SNC,,-23.997709,44.963118,no,yes,AMPAMATA,Ampanihy Ouest,DEX/PGES,3491.2,no,,56308.9,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANDOHAKAOLO' at 3491 m"
retired,FPMH AGNIVORANO,SNC,,-24.034797,44.696164,no,yes,FPMH AGNIVORANO,Ampanihy Ouest,DEX/PGES,12124.3,no,,77315.1,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'AMBATOMAINTY CENTRE' at 12124 m"
retired,MUS Antanimena,SNC,,-23.529515,43.990124,no,yes,MUS Antanimena,Toliara 2,DEX/PGES,13209.1,no,,129420.1,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point '' at 13209 m"
retired,Namaboha,SNC,,-22.345259,43.376042,no,yes,Namaboha,Toliara 2,DEX/PGES,32404.2,no,,118820.3,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANALAMISAMPY EPP' at 32404 m"
