water_point,site,sheet_year,sheets,first_photo,last_photo,days_covered,days_in_year,fraction_covered
742896444,Maroantsetra,2025,1,2025-10-11,2025-10-11,284,365,0.7781
742896468,Maroantsetra,2024,1,2025-10-10,2025-10-10,366,366,1.0
742896482,Maroantsetra,2025,1,2025-10-10,2025-10-10,283,365,0.7753
742896499,Maroantsetra,2024,1,2025-10-14,2025-10-14,366,366,1.0
742896516,Maroantsetra,2024,1,2025-10-23,2025-10-23,366,366,1.0
742896547,Maroantsetra,2025,1,2025-10-17,2025-10-17,290,365,0.7945
742896561,Maroantsetra,2024,1,2025-10-15,2025-10-15,366,366,1.0
742896561,Maroantsetra,2025,1,2025-10-15,2025-10-15,288,365,0.789
742896602,Maroantsetra,2024,1,2025-10-18,2025-10-18,366,366,1.0
742896619,Maroantsetra,2025,1,2025-10-17,2025-10-17,290,365,0.7945
742896619,Maroantsetra,2026,1,2026-05-19,2026-05-19,139,365,0.3808
742896664,Maroantsetra,2024,1,2025-10-14,2025-10-14,366,366,1.0
742896664,Maroantsetra,2025,1,2025-10-14,2025-10-14,287,365,0.7863
742896688,Maroantsetra,2024,1,2025-10-22,2025-10-22,366,366,1.0
742896695,Maroantsetra,2025,1,2025-10-16,2025-10-16,289,365,0.7918
742896712,Maroantsetra,2024,1,2025-10-22,2025-10-22,366,366,1.0
742896712,Maroantsetra,2025,1,2025-10-22,2025-10-22,295,365,0.8082
742896729,Maroantsetra,2025,1,2025-10-21,2025-10-21,294,365,0.8055
742896750,Maroantsetra,2025,1,2025-10-23,2025-10-23,296,365,0.811
742896839,unmapped,2025,1,2025-10-25,2025-10-25,298,365,0.8164
742896853,Maroantsetra,2024,1,2025-10-29,2025-10-29,366,366,1.0
742896884,Maroantsetra,2024,1,2025-10-29,2025-10-29,366,366,1.0
742896884,Maroantsetra,2025,2,2025-12-09,2026-01-22,365,365,1.0
742896891,Maroantsetra,2025,1,2026-02-10,2026-02-10,365,365,1.0
742896963,Maroantsetra,2025,1,2025-10-31,2025-10-31,304,365,0.8329
742897098,Maroantsetra,2024,1,2025-10-03,2025-10-03,366,366,1.0
742897098,Maroantsetra,2025,1,2025-10-03,2025-10-03,276,365,0.7562
742897115,Maroantsetra,2024,1,2025-10-02,2025-10-02,366,366,1.0
742897153,Maroantsetra,2024,1,2025-10-04,2025-10-04,366,366,1.0
742897153,Maroantsetra,2025,2,2025-10-04,2026-06-25,365,365,1.0
742897249,Maroantsetra,2024,1,2026-03-03,2026-03-03,366,366,1.0
742897249,Maroantsetra,2025,1,2025-10-06,2025-10-06,279,365,0.7644
742897263,Maroantsetra,2024,1,2025-10-03,2025-10-03,366,366,1.0
742897263,Maroantsetra,2025,3,2025-10-03,2026-03-02,365,365,1.0
742897270,Maroantsetra,2024,1,2025-09-27,2025-09-27,366,366,1.0
742897287,Maroantsetra,2025,1,2025-10-01,2025-10-01,274,365,0.7507
742897294,Maroantsetra,2025,1,2025-10-02,2025-10-02,275,365,0.7534
742897335,Maroantsetra,2024,1,2026-01-09,2026-01-09,366,366,1.0
742897335,Maroantsetra,2025,1,2025-10-02,2025-10-02,275,365,0.7534
742897342,Maroantsetra,2025,1,2025-09-27,2025-09-27,270,365,0.7397
742897407,Maroantsetra,2024,1,2025-09-20,2025-09-20,366,366,1.0
